id,Texture Name,Link,Average Hex Color Value,Average RGB Color Value
55,"ami_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fami_txt.png","#a3a3a3","rgb(163,163,163)"
56,"aM_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2FaM_txt.png","#736250","rgb(115,98,80)"
57,"a_namiita_0_TxT","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_namiita_0_TxT.png","#85595a","rgb(133,89,90)"
58,"ana_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fana_txt.png","#4e413f","rgb(78,65,63)"
59,"and_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fand_txt.png","#8e3900","rgb(142,57,0)"
60,"aN_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2FaN_txt.png","#312146","rgb(49,33,70)"
61,"anzen_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fanzen_txt.png","#c6b098","rgb(198,176,152)"
62,"aO_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2FaO_txt.png","#994a00","rgb(153,74,0)"
63,"aP_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2FaP_txt.png","#a88308","rgb(168,131,8)"
64,"aQ_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2FaQ_txt.png","#807844","rgb(128,120,68)"
65,"arajin_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Farajin_txt.png","#99722f","rgb(153,114,47)"
66,"a_renga01_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_renga01_txt.png","#c9a597","rgb(201,165,151)"
67,"a_renga02_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_renga02_txt","#767985","rgb(118,121,133)"
68,"a_renga03_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_renga03_txt.png","#a46855","rgb(164,104,85)"
69,"a_renga04_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_renga04_txt.png","#a9aba6","rgb(169,171,166)"
70,"a_renga05_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_renga05_txt.png","#2a3340","rgb(42,51,64)"
71,"a_renga06_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_renga06_txt.png","#4c4b4b","rgb(76,75,75)"
72,"a_renga07_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_renga07_txt.png","#6a4545","rgb(106,69,69)"
73,"a_renga08_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_renga08_txt.png","#616977","rgb(97,105,119)"
74,"a_renga09_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_renga09_txt.png","#88403a","rgb(136,64,58)0"
75,"a_renga10_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_renga10_txt.png","#886633","rgb(136,102,51)"
76,"a_renga11_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_renga11_txt.png","#7c5556","rgb(124,85,86)"
77,"a_renga_00_TxT","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_renga_00_TxT.png","#adc3b2","rgb(173,195,178)"
78,"a_renga_05_TxT","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_renga_05_TxT.png","#5f6065","rgb(95,96,101)"
79,"a_renga_09_TxT","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_renga_09_TxT.png","#444a55","rgb(68,74,85)"
80,"a_renga_10_TxT","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_renga_10_TxT.png","#a49782","rgb(164,151,130)"
81,"aR_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2FaR_txt.png","#999908","rgb(153,153,8)"
82,"a_sand4e_TxT","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_sand4e_TxT.png","#817f7e","rgb(129,127,126)"
83,"aS_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2FaS_txt.png","#c57300","rgb(197,115,0)"
84,"aT_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2FaT_txt.png","#0018ff","rgb(0,24,255)"
85,"A_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2FA_txt.png","#806894","rgb(128,104,148)"
86,"aU_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2FaU_txt.png","#994403","rgb(153,68,3)"
87,"aV_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2FaV_txt.png","#833900","rgb(131,57,0)"
88,"aW_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2FaW_txt.png","#825434","rgb(130,84,52)"
89,"aX_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2FaX_txt.png","#31c58b","rgb(49,197,139)"
90,"a_yogan01_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_yogan01_txt.png","#870400","rgb(135,4,0)"
91,"a_yogan02_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_yogan02_txt.png","#c63414","rgb(198,52,20)"
92,"aY_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2FaY_txt.png","#833108","rgb(131,49,8)"
93,"a_yuka01_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_yuka01_txt.png","#769ab9","rgb(118,154,185)"
94,"a_yuka02_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_yuka02_txt.png","#83392b","rgb(131,57,43)"
95,"a_yuka03_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_yuka03_txt.png","#c0a174","rgb(192,161,116)"
96,"a_yuka04_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fa_yuka04_txt.png","#947838","rgb(148,120,56)"
97,"aZ_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2FaZ_txt.png","#000000","rgb(0,0,0)"
98,"ba_eye1_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fba_eye1_txt.png","#13139b","rgb(19,19,155)"
99,"ba_eye2_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fba_eye2_txt.png","#08087c","rgb(8,8,124)"
100,"ba_eye3_txt","https://ia801909.us.archive.org/view_archive.php?archive=/21/items/sm64sourcetextures/sm64sourcetextures.zip&file=textures%2Fba_eye3_txt.png","#0000ac","rgb(0,0,172)"
